run_id,method,ATE_RMSE_m,ATE_median_m,ATE_P95_m,translation_RPE_1s_RMSE_m,evaluated_GT_samples,evaluation_start_s,evaluation_end_s,actual_matched_start_s,actual_matched_end_s,alignment_mode,gt_reference_point,evaluation_status,failure_reason,metric_scope,matched_GT_identity_hash,rpe_status,comparison_status
t09-87a7098964224860ab31d55b022a5f5e,M0,0.1638532681570079,0.13616632121700928,0.2989780699677445,0.6919230239949843,229,1664959676.9893188,1664959736.082964,1664959676.9893188,1664959736.082964,SE3_SCALE_1_PER_TRAJECTORY,vive/tracker_1 origin; tracker-to-IMU extrinsics UNKNOWN,AVAILABLE,,DEVELOPMENT_TRACKER_PROXY_NOT_CALIBRATED_BODY_ERROR,fafcaed54cf9db4727a4d6fca6b7a1239a6fcc58cedbed11b38197fd2b65cf4c,AVAILABLE,INCOMPLETE_OR_MISMATCHED_GT_SET
t09-c4ec4f1500334fecb4069f3dfbb07ba5,M1,0.16384723094111373,0.13957779488018976,0.29423842921259946,0.7081372491364544,229,1664959676.9893188,1664959736.082964,1664959676.9893188,1664959736.082964,SE3_SCALE_1_PER_TRAJECTORY,vive/tracker_1 origin; tracker-to-IMU extrinsics UNKNOWN,AVAILABLE,,DEVELOPMENT_TRACKER_PROXY_NOT_CALIBRATED_BODY_ERROR,fafcaed54cf9db4727a4d6fca6b7a1239a6fcc58cedbed11b38197fd2b65cf4c,AVAILABLE,INCOMPLETE_OR_MISMATCHED_GT_SET
t09-5549dcb2e2184841be46152ca164df2f,M3,,,,,0,1664959676.9893188,1664959736.082964,,,SE3_SCALE_1_PER_TRAJECTORY,vive/tracker_1 origin; tracker-to-IMU extrinsics UNKNOWN,UNAVAILABLE,CACHE_SUCCESS_EMPTY_EVIDENCE_MISSING,DEVELOPMENT_TRACKER_PROXY_NOT_CALIBRATED_BODY_ERROR,,NOT_RUN,INCOMPLETE_OR_MISMATCHED_GT_SET
t09-989a9c512d664aed980d0eedd0b0298f,M4,,,,,0,1664959676.9893188,1664959736.082964,,,SE3_SCALE_1_PER_TRAJECTORY,vive/tracker_1 origin; tracker-to-IMU extrinsics UNKNOWN,UNAVAILABLE,CACHE_SUCCESS_EMPTY_EVIDENCE_MISSING,DEVELOPMENT_TRACKER_PROXY_NOT_CALIBRATED_BODY_ERROR,,NOT_RUN,INCOMPLETE_OR_MISMATCHED_GT_SET
